"STATUSES_COUNT","FRIENDS_COUNT","LISTED_COUNT","USER_FAVORITES","DESCRIPTION_LEN","HAS_URL","HAS_LOCATION","REPLIES","MENTIONS","RETWEETS_OF_USER_TWEETS","RETWEETS_BY_USER","FAVORITE_COUNT_FOR_USER","HASHTAGS","BROADCAST_COMMS","QUOTES","URLS","TWEETS_EXAMINED","USER_AGE","FOLLOWERS_COUNT"
5549,181,0,4438,160,0,0,878,1523,1061,1437,2887,708,848,41,92,3202,519.179103522877,108
7725,850,5,208,0,0,0,657,734,472,384,481,5,1000,462,552,1990,1579.53725167103,1256
42178,97,11,671,20,0,1,62,257,100,2439,44,3,543,0,10,3203,1853.89997157843,370
21309,575,4,498,128,1,1,140,664,1631,2129,1882,96,699,0,510,3238,1183.42611741177,2458
14849,300,5,4974,32,0,0,2067,3661,188,436,676,5,703,302,311,3216,305.575747041396,235
10611,378,2,14675,61,0,1,305,468,175,183,1848,40,425,56,167,996,1705.9756544488,888
53904,3458,7,1315,46,0,1,57,46,74,2716,63,129,442,141,145,3204,1282.74066602288,2108
2006,827,0,782,17,0,1,98,113,219,663,451,23,1217,11,32,1992,471.671360467322,307
12347,1365,1,983,21,0,0,9,12,19,2849,0,7,381,0,375,3239,369.032969263618,912
549,201,0,132,108,1,1,322,357,8,88,98,24,115,1,31,497,161.072147504359,153
13274,888,13,13,73,0,1,116,178,105,240,132,983,2822,104,348,3232,1956.1653882451,277
4057,633,1,1526,51,0,0,1733,2839,666,430,2556,676,671,37,77,3193,1763.04389518954,744
59124,144,15,36540,26,0,0,1159,770,250,690,3052,15,1869,81,122,3223,1062.77005259695,429
5476,660,0,406,8,1,1,114,119,783,914,588,29,2177,4,56,3199,994.934971578433,753
11478,259,2,18710,25,1,1,881,1134,907,1014,4410,184,1206,379,395,3228,96.2699600043589,581
11973,6854,5,2292,0,0,0,135,155,1443,2211,905,71,777,18,78,3142,972.771719263618,8931
10828,394,1,5323,83,0,0,1080,1490,463,634,2085,135,1368,109,122,3191,1560.7288720414,416
8394,409,1,41283,48,0,0,793,1295,498,871,4075,58,1051,2,64,3063,1210.49410352288,544
9077,609,0,3409,150,0,0,637,718,368,1130,710,377,1436,41,47,3189,1576.01185815251,470
422,77,0,130,43,0,0,119,194,69,218,214,5,77,25,28,425,151.118791022877,164
1387,398,1,1207,0,0,0,738,834,39,405,122,142,253,0,58,1375,2555.89700861547,154
88,849,0,4,151,1,1,73,73,0,20,5,0,6,0,3,99,928.034612782137,106
8215,363,4,17691,27,0,1,847,1164,449,1281,2663,26,860,21,126,3057,757.83232111547,518
5448,180,0,1293,0,0,1,35,40,38,3053,93,1,141,0,5,3233,827.878432226581,659
83,44,0,524,0,0,0,30,31,4,50,12,0,3,0,0,83,281.164010930285,101
4346,182,8,1312,77,0,0,1954,2050,162,320,582,9,960,14,21,3210,292.4638257451,186
14894,5443,2,44,81,0,0,315,289,1277,2402,213,360,489,0,95,3164,1122.09477481917,5479
49702,872,55,7338,150,0,1,657,2218,440,1379,1440,757,941,277,639,3239,2617.6201220414,1069
10560,994,4,27056,64,0,1,479,919,754,1263,1762,301,1285,579,914,3202,1770.90911509695,858
7749,423,10,7882,120,0,0,2499,4298,246,393,2995,108,281,198,274,3210,860.221476208063,423
524,117,0,937,39,0,0,88,156,61,340,245,9,71,0,3,512,471.620480837692,181
9300,348,8,122,115,0,0,2245,3402,467,101,1041,395,808,642,757,3201,684.037911393248,139
18228,420,3,661,112,0,1,1003,1478,292,1937,330,49,329,191,235,3239,836.65825861547,1134
49643,3074,320,26076,111,1,1,779,706,90,1724,540,51,784,172,292,3214,1116.95720537473,4942
58335,875,9,47177,39,1,1,1455,1525,129,1432,720,71,351,87,155,3193,1497.53555028214,487
22441,165,1,62,47,0,0,266,277,73,1634,80,4,301,31,66,2202,2241.26489055991,336
5975,1991,2,7473,5,0,1,8,8,28,3084,97,0,52,0,0,3144,61.9515919488034,1618
7525,115,2,431,122,0,1,160,2206,5,0,134,0,1017,0,0,3202,867.553293337692,167
60865,288,10,21,43,1,1,2624,2850,378,191,81,27,524,49,55,3236,517.91644148584,1798
2530,1980,1,0,0,0,0,0,0,356,0,515,0,2530,0,2823,2530,62.7311984302849,396
93856,2491,51,64589,141,0,1,842,1961,219,1728,666,232,350,123,349,2934,2363.68397620806,2560
57560,1080,7,4811,43,0,1,564,866,501,1511,1025,50,1050,488,675,3224,1401.77600167103,1818
15603,81,5,79,152,0,1,1491,2101,387,1486,118,87,346,128,138,3239,325.943085004359,1127
245,190,0,828,0,0,0,102,107,20,15,550,6,125,0,2,241,227.909531763618,234
8540,304,204,550,98,0,0,236,368,63,2611,105,161,350,82,175,3212,985.9378882451,206
12617,130,1,7906,82,1,1,2340,4129,610,333,4581,49,457,113,172,3243,670.16388361547,1213
50926,1561,6,2247,51,0,1,794,954,1364,683,991,54,1738,625,677,3218,1913.76277250436,1679
5837,1821,1,6,157,0,0,1,7,55,46,48,4108,3154,0,498,3207,899.770955374729,920
4160,1201,6,480,132,1,1,163,377,65,140,114,91,2773,5,2735,3230,1806.49126787473,419
5409,652,6,361,0,0,0,172,190,28,2695,88,314,254,16,159,3111,600.163177596952,145
9889,1127,117,0,129,1,1,1554,2227,834,1045,1604,397,580,211,761,3237,3089.83653407843,942
18583,258,1,274,51,1,1,49,50,53,1039,140,100,2110,196,228,3197,1001.7644970414,258
37227,1200,1,14959,85,0,0,364,496,935,1888,910,5,922,119,168,3162,1071.0303419488,1454
1643,51129,41,4634,101,1,1,489,553,273504,134,81965,86,958,82,150,1530,1691.29314287473,60691
14806,220,11,3264,133,1,1,0,41,0,3175,0,0,15,0,56,3231,2424.04903407843,1616
7102,351,2,0,30,0,0,0,1,12,0,23,343,3230,0,1,3231,274.998119726581,154
24068,95,0,12280,114,0,0,89,313,560,2874,1973,260,88,7,7,3180,163.924149819174,385
37896,141,16,170,80,0,1,2,2,106,2974,8,1,234,198,205,3210,1688.35279565251,381
5631,194,0,2793,68,0,1,455,399,626,719,1417,71,2118,503,701,3195,331.102436856211,579
1510,364,1,1311,54,0,0,314,471,221,719,640,20,427,1,40,1465,750.626811856211,318
494,1122,10,58,41,0,1,89,135,153,217,254,51,115,45,101,429,2417.94031880066,1140
5302,207,0,2958,0,0,0,348,404,915,2173,1067,40,679,13,56,3199,769.577714633989,337
11215,743,0,4397,96,0,1,2339,3410,165,378,817,48,488,15,161,3213,1626.19259889325,342
26546,75,21,27042,67,0,1,13,14,0,3235,1,0,0,0,0,3248,112.123293337692,101
7330,1819,1,23287,30,1,1,158,173,145,1666,3761,220,1347,4,17,3177,1083.93655722658,2071
9894,328,3,177,34,0,1,2098,2536,60,190,635,41,941,7,39,3202,1249.34772620806,332
30201,2951,43,16165,147,0,1,58,131,15,3125,14,0,7,7,15,3201,863.227471578433,1617
15852,727,3,11093,91,0,1,296,424,86,2677,351,34,177,104,115,3213,429.010318800655,428
27158,1525,2,2148,82,1,0,30,31,23,3170,8,4,6,0,3,3206,1572.33640676362,470
64916,7919,706,1558,109,1,1,315,747,1103,1973,901,348,758,116,768,3244,2709.67298083769,11616
36402,546,66,292,110,1,1,748,2077,4287,607,5001,2191,1139,92,210,3245,1607.95332805991,2320
5844,701,29,2437,141,0,1,765,4732,2799,227,2752,2555,1506,1887,2757,3207,78.0893234302849,746
70640,4231,29,23500,124,1,1,552,573,14256,1761,12085,36,874,297,430,3170,847.807159078433,20727
20937,1204,17,20758,89,1,1,266,353,200,696,1422,486,2199,117,126,3228,2492.40925398584,573
3786,156,1,503,106,0,1,1543,1773,88,20,1388,10,1673,17,31,3242,50.2716035228774,139
39,186,1,320,0,0,1,13,20,2,17,57,18,2,0,0,36,264.299786393248,176
40876,12187,16,0,145,0,1,0,167,0,0,57,6,3079,0,3246,3246,1621.14556185621,11078
44539,204,9,8639,77,0,1,576,636,795,430,1596,983,2199,48,251,3246,454.418767874729,204
7052,550,0,748,69,1,1,361,411,434,1147,657,67,1703,35,152,3181,1108.77888361547,465
3243,297,1,4595,33,1,1,262,352,81,1373,595,97,1471,34,101,3158,2541.86365213399,192
46392,231,5,27696,89,0,0,220,264,126,2062,618,8,849,257,303,3146,1192.48607111547,321
12980,89,14,17243,110,0,0,249,1472,961,2745,2621,283,198,19,20,3210,521.42581648584,681
41009,964,6,1269,41,0,1,11,16,43,3140,8,17,68,18,22,3224,914.338710004359,206
94779,1100,227,1216,114,1,1,37,1359,6507,1021,2039,493,1218,242,2095,3212,2311.63181185621,25239
520,535,0,1981,14,0,0,47,50,124,420,416,1,48,7,7,510,258.012471578433,382
20800,785,89,62,70,1,1,2161,2088,6659,9,34232,13,1150,12,42,3237,985.225631300655,4497
3507,1645,20,2141,159,1,0,102,112,281,2331,1391,324,708,62,72,3143,342.476429911766,1479
5202,86,0,24,37,0,1,283,311,40,2100,158,12,866,25,48,3207,674.469404448803,149
57523,503,0,1842,80,0,1,35,38,4,2996,7,3,153,9,60,3185,2076.16237898584,222
22929,1906,0,197,71,0,0,442,602,53,243,15,92,2546,1,2276,3220,1277.93801555991,1266
7368,305,6,857,100,1,1,1253,1256,281,411,362,129,1597,42,323,3232,2170.98521463399,149
90611,231,9,2358,33,0,1,2146,2303,236,174,164,37,926,12,15,3238,671.203061856211,182
9094,296,3,3494,114,1,1,489,493,439,1968,363,342,757,154,323,3204,106.830203059914,226
802,689,0,0,0,0,0,8,8,2,89,22,1,705,1,673,802,33.0530502821367,409
8252,576,0,8070,36,1,0,123,175,487,1270,1112,78,1745,905,1009,3173,1298.09058500436,593
81422,1422,20,0,33,0,0,0,1,389,0,589,430,3205,0,3605,3206,502.035411393248,1257
18816,660,3,19190,64,0,1,1097,2596,190,1374,396,1118,55,7,319,3219,1784.75583963399,636
5603,275,1,1213,20,0,1,871,1256,331,878,989,27,1329,50,59,3132,1273.0228419488,618
57694,158,31,68,121,0,0,573,242,573,850,416,305,2146,137,552,3225,2338.74872157843,436
26065,196,25,2190,23,0,1,1251,1271,93,224,125,67,1735,94,140,3206,856.368374356211,315
6431,1476,32,9473,127,1,1,621,1485,1262,1730,1202,979,665,547,737,3224,2554.16493685621,1014
19693,1510,1,5132,80,0,1,63,91,53,2974,212,31,150,22,89,3197,1539.56671926362,620
37018,364,5,7078,47,0,1,16,18,22,1413,15,15,1803,1,30,3234,1924.99087435621,127
3965,234,2,18,108,0,1,957,1047,324,789,21,130,1555,1,62,3187,1632.71078176362,349
324,151,0,395,0,0,0,22,17,13,256,69,0,41,2,2,311,822.811973893248,163
8444,294,2,6895,42,0,1,462,505,88,986,779,65,1764,69,174,3183,880.428085004359,202
26503,318,0,2105,103,0,1,371,403,421,2298,43,7,522,12,12,3190,1856.50977481917,467
11905,1792,628,3854,118,1,1,58,1557,362,507,1457,4756,1586,21,2510,3244,1492.45404565251,2947
1438,525,4,2333,97,0,1,394,656,33,700,278,94,278,120,163,1436,1324.66946231917,103
10738,437,1,4436,12,0,0,435,477,773,1841,1515,18,766,35,53,3042,1407.70330491177,607
77,295,0,38,61,0,0,0,0,52,58,34,0,19,0,0,77,83.3028766710256,321
412,1162,3,701,93,1,1,16,31,3,384,17,7,7,0,1,413,204.579219263618,336
82160,3672,3,3406,37,1,1,69,85,125,2694,154,2,426,10,10,3193,319.9738257451,2598
46932,147,33,268,148,0,1,1069,1109,30789,1177,2879,641,1019,170,285,3241,379.263686856211,2392
41657,600,8,200,51,1,1,1124,1133,105,1057,860,437,1060,21,80,3192,2325.1954345414,259
44563,533,1,101,0,0,1,568,1631,3736,2566,251,84,100,71,77,3245,381.137274819174,1337
2303,444,0,398,114,0,0,1380,1590,197,363,1504,5,530,1,4,2242,287.247205374729,501
2182,3511,24,3942,17,0,1,474,492,1303,672,2953,316,1032,66,161,2169,196.289531763618,3438
1971,31269,84,167,72,0,0,0,1,1604,1575,1539,0,202,0,50,1778,529.479230837692,39111
30316,4061,33,2,87,0,1,56,56,189,0,934,0,3189,0,0,3245,1495.77426555991,3614
6146,457,1,3400,67,0,1,678,802,646,1905,2384,35,555,11,27,3134,1246.60479796732,379
672,247,0,17,108,0,0,47,63,11,597,2,3,11,0,7,668,1278.88703176362,167
30724,898,16,508,146,0,1,847,1791,435,2280,350,315,45,0,41,3220,2380.86261046732,1748
9242,1079,3,7456,113,0,0,308,451,454,2905,291,0,2,0,1,3214,54.293247041396,853
3043,569,1,270,61,0,1,460,528,87,92,152,3596,2417,13,1448,3016,2083.81389518954,202
464,200,0,903,18,0,0,197,252,25,70,92,0,196,10,21,466,321.496846578433,282
62571,3052,9,31137,77,0,0,562,1188,662,2380,970,112,274,159,181,3210,824.772078059915,4377
24174,1547,6,17360,0,0,1,394,1450,2790,2702,451,451,32,10,12,3150,332.141568800655,941
65738,223,6,5458,73,1,1,1128,1187,575,1204,726,84,1046,67,120,3236,1562.00364055991,260
18434,731,0,4555,132,0,1,60,57,5,2854,7,2,213,0,0,3120,1695.75585120806,116
20440,1668,121,0,47,0,1,0,0,65,0,155,57,3232,0,3646,3232,1294.90577018954,2218
51308,456,35,8139,18,0,1,2154,2155,85,57,690,24,1053,3,11,3218,970.414219263618,499
3908,176,3,3426,111,0,1,1302,1345,205,620,1121,136,1242,16,242,3157,156.271997041396,233
34750,125,5,1823,0,0,0,451,807,796,1461,162,29,1130,781,830,3149,1496.39505259695,1279
2908,1673,11,335,110,1,1,1027,1415,443,306,374,1443,1510,1,1290,2909,2414.06552713399,1035
12,350,0,3278,43,1,1,1,1,3,3,83,2,7,0,1,11,310.442506300655,412
21723,2308,43,4079,95,1,1,697,962,1416,1445,1207,161,821,10,122,3184,2288.18214750436,1597
4347,253,2,73,71,1,1,533,916,105,1841,63,52,600,4,33,2989,2397.41828176362,114
91938,353,18,772,81,1,1,1100,1146,299,375,379,33,1723,12,286,3208,2059.2419507451,381
69745,1981,23,10249,137,1,1,43,46,90,2942,57,4,234,127,128,3221,1063.26317759695,2343
21202,112,0,2157,64,0,1,1340,1377,2491,1358,1991,52,535,19,30,3228,1403.21056185621,592
29103,251,6,77,137,0,0,10,31,24,2900,6,211,291,62,274,3220,2148.81396463399,279
74239,214,84,33617,52,0,1,2490,9342,149,528,2931,1638,57,26,242,3240,768.411545652507,533
3279,555,0,1076,138,0,0,417,488,524,957,958,223,1798,62,73,3197,872.534392874729,525
2533,87,1,2037,22,0,1,154,161,118,1875,73,1,468,130,217,2497,820.957541022877,144
11285,594,2,7925,139,1,0,911,1534,253,2038,463,493,148,37,42,3231,362.757841948803,671
11657,163,4,19686,12,0,0,236,151,2643,2002,1399,22,1061,52,128,3213,1192.11743685621,572
76141,94,26,9929,144,1,1,693,616,65,986,213,13,1608,2,54,3202,2424.5375294488,118
10711,330,2,6415,34,0,0,324,475,327,1919,1121,78,863,20,171,3174,1165.08511046732,308
17946,395,44,2,113,1,1,0,706,28,181,102,50,2345,0,3059,3231,542.202922967322,353
